"file","rule_id","standard","category","p21_id","core_id","cg_ids","fda_ids","source_doc","has_p21","has_core","has_cg"
"HRL-AD-0151.yaml","HRL-AD-0151","ADaM","Presence","AD0163","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0152.yaml","HRL-AD-0152","ADaM","Presence","AD0164","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0153.yaml","HRL-AD-0153","ADaM","Consistency","AD0165","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0154.yaml","HRL-AD-0154","ADaM","Presence","AD0166","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0155.yaml","HRL-AD-0155","ADaM","Presence","AD0167","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0156.yaml","HRL-AD-0156","ADaM","Consistency","AD0168","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0157.yaml","HRL-AD-0157","ADaM","Limit","AD0169","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0158.yaml","HRL-AD-0158","ADaM","Presence","AD0170","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0159.yaml","HRL-AD-0159","ADaM","Cross-reference","AD0171","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0160.yaml","HRL-AD-0160","ADaM","Cross-reference","AD0172","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0161.yaml","HRL-AD-0161","ADaM","Cross-reference","AD0173","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0162.yaml","HRL-AD-0162","ADaM","Cross-reference","AD0174","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0163.yaml","HRL-AD-0163","ADaM","Consistency","AD0175","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0164.yaml","HRL-AD-0164","ADaM","Terminology","AD0176","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0165.yaml","HRL-AD-0165","ADaM","Terminology","AD0178","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0166.yaml","HRL-AD-0166","ADaM","Cross-reference","AD0179","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0167.yaml","HRL-AD-0167","ADaM","Format","AD0185","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0168.yaml","HRL-AD-0168","ADaM","Format","AD0186","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0169.yaml","HRL-AD-0169","ADaM","Format","AD0187","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0170.yaml","HRL-AD-0170","ADaM","Format","AD0188","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0171.yaml","HRL-AD-0171","ADaM","Format","AD0189","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0172.yaml","HRL-AD-0172","ADaM","Format","AD0190","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0173.yaml","HRL-AD-0173","ADaM","Format","AD0191","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0174.yaml","HRL-AD-0174","ADaM","Format","AD0192","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0175.yaml","HRL-AD-0175","ADaM","Format","AD0193","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0176.yaml","HRL-AD-0176","ADaM","Presence","AD0196","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0177.yaml","HRL-AD-0177","ADaM","Presence","AD0198","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0178.yaml","HRL-AD-0178","ADaM","Presence","AD0201","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0179.yaml","HRL-AD-0179","ADaM","Cross-reference","AD0202","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0180.yaml","HRL-AD-0180","ADaM","Cross-reference","AD0203","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0181.yaml","HRL-AD-0181","ADaM","Cross-reference","AD0204","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0182.yaml","HRL-AD-0182","ADaM","Cross-reference","AD0205","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0183.yaml","HRL-AD-0183","ADaM","Cross-reference","AD0206","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0184.yaml","HRL-AD-0184","ADaM","Cross-reference","AD0207","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0185.yaml","HRL-AD-0185","ADaM","Cross-reference","AD0208","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0186.yaml","HRL-AD-0186","ADaM","Cross-reference","AD0209","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0187.yaml","HRL-AD-0187","ADaM","Cross-reference","AD0210","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0188.yaml","HRL-AD-0188","ADaM","Terminology","AD0211","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0189.yaml","HRL-AD-0189","ADaM","Terminology","AD0212","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0190.yaml","HRL-AD-0190","ADaM","Format","AD0213","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0191.yaml","HRL-AD-0191","ADaM","Format","AD0215","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0192.yaml","HRL-AD-0192","ADaM","Consistency","AD0221","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0193.yaml","HRL-AD-0193","ADaM","Consistency","AD0223","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
